Province,City,Number,Lng,Lat
江苏省,徐州市,1,117.90306,34.402946
河南省,郑州市,1,113.351802,34.80618
江苏省,镇江市,1,119.20708,31.932635
辽宁省,朝阳市,1,119.271543,40.981801
福建省,宁德市,1,120.198307,27.224829
贵州省,黔南布依族苗族自治州,2,107.477559,26.153657
江苏省,苏州市,4,121.158978,31.571904
湖北省,黄石市,1,114.846142,30.072896
安徽省,宣城市,1,118.997025,30.502936
浙江省,宁波市,1,121.152779,29.996457
浙江省,嘉兴市,1,120.490411,30.612341
北京市,北京市,1,116.602877,40.017703
山西省,吕梁市,1,111.637646,37.118133
山东省,青岛市,1,119.959421,36.248031
青海省,黄南藏族自治州,1,102.0076,35.522852
北京市,北京市,2,116.457298,39.91494
江苏省,泰州市,1,120.276899,32.039443
浙江省,温州市,1,120.46834,27.829231
湖北省,黄冈市,1,115.089715,31.217943
江西省,宜春市,1,115.421346,28.002514
河南省,安阳市,1,113.861084,36.016561
浙江省,金华市,1,120.067296,29.306444
